001  00190 |Loss: 0.641 | Acc: 70.921% 
001  00191 |Loss: 0.641 | Acc: 70.877% 
001  00192 |Loss: 0.641 | Acc: 70.833% 
001  00193 |Loss: 0.641 | Acc: 70.920% 
001  00194 |Loss: 0.642 | Acc: 70.812% 
001  00195 |Loss: 0.642 | Acc: 70.705% 
001  00196 |Loss: 0.641 | Acc: 70.663% 
001  00197 |Loss: 0.641 | Acc: 70.558% 
001  00198 |Loss: 0.641 | Acc: 70.518% 
001  00199 |Loss: 0.640 | Acc: 70.540% 
001  00200 |Loss: 0.639 | Acc: 70.562% 
001  00201 |Loss: 0.639 | Acc: 70.522% 
001  00202 |Loss: 0.639 | Acc: 70.545% 
001  00203 |Loss: 0.639 | Acc: 70.505% 
001  00204 |Loss: 0.639 | Acc: 70.527% 
001  00205 |Loss: 0.638 | Acc: 70.549% 
001  00206 |Loss: 0.638 | Acc: 70.510% 
001  00207 |Loss: 0.636 | Acc: 70.652% 
001  00208 |Loss: 0.634 | Acc: 70.793% 
001  00209 |Loss: 0.633 | Acc: 70.873% 
001  00210 |Loss: 0.633 | Acc: 70.833% 
001  00211 |Loss: 0.631 | Acc: 70.972% 
001  00212 |Loss: 0.635 | Acc: 70.873% 
001  00213 |Loss: 0.635 | Acc: 70.892% 
001  00214 |Loss: 0.633 | Acc: 70.970% 
001  00215 |Loss: 0.632 | Acc: 70.988% 
001  00216 |Loss: 0.630 | Acc: 71.123% 
001  00217 |Loss: 0.632 | Acc: 71.083% 
001  00218 |Loss: 0.630 | Acc: 71.101% 
001  00219 |Loss: 0.631 | Acc: 71.119% 
001  00220 |Loss: 0.631 | Acc: 71.080% 
001  00221 |Loss: 0.630 | Acc: 71.154% 
001  00222 |Loss: 0.629 | Acc: 71.171% 
001  00223 |Loss: 0.629 | Acc: 71.188% 
001  00224 |Loss: 0.628 | Acc: 71.205% 
001  00225 |Loss: 0.627 | Acc: 71.278% 
001  00226 |Loss: 0.626 | Acc: 71.239% 
001  00227 |Loss: 0.625 | Acc: 71.311% 
001  00228 |Loss: 0.626 | Acc: 71.162% 
001  00229 |Loss: 0.626 | Acc: 71.124% 
001  00230 |Loss: 0.626 | Acc: 71.141% 
001  00231 |Loss: 0.627 | Acc: 71.104% 
001  00232 |Loss: 0.626 | Acc: 71.067% 
001  00233 |Loss: 0.626 | Acc: 70.976% 
001  00234 |Loss: 0.625 | Acc: 71.047% 
001  00235 |Loss: 0.625 | Acc: 71.011% 
001  00236 |Loss: 0.626 | Acc: 70.975% 
001  00237 |Loss: 0.626 | Acc: 70.939% 
001  00238 |Loss: 0.626 | Acc: 70.903% 
001  00239 |Loss: 0.625 | Acc: 70.973% 
001  00240 |Loss: 0.625 | Acc: 70.938% 
001  00241 |Loss: 0.625 | Acc: 70.954% 
001  00242 |Loss: 0.626 | Acc: 70.919% 
001  00243 |Loss: 0.625 | Acc: 70.885% 
001  00244 |Loss: 0.628 | Acc: 70.748% 
001  00245 |Loss: 0.627 | Acc: 70.714% 
001  00246 |Loss: 0.627 | Acc: 70.732% 
001  00247 |Loss: 0.626 | Acc: 70.749% 
001  00248 |Loss: 0.625 | Acc: 70.766% 
001  00249 |Loss: 0.626 | Acc: 70.733% 
001  00250 |Loss: 0.626 | Acc: 70.750% 
001  00251 |Loss: 0.626 | Acc: 70.767% 
001  00252 |Loss: 0.625 | Acc: 70.833% 
001  00253 |Loss: 0.624 | Acc: 70.899% 
001  00254 |Loss: 0.625 | Acc: 70.866% 
001  00255 |Loss: 0.624 | Acc: 70.931% 
001  00256 |Loss: 0.625 | Acc: 70.898% 
001  00257 |Loss: 0.624 | Acc: 70.963% 
001  00258 |Loss: 0.623 | Acc: 70.930% 
001  00259 |Loss: 0.623 | Acc: 70.946% 
001  00260 |Loss: 0.623 | Acc: 70.962% 
001  00261 |Loss: 0.623 | Acc: 70.977% 
001  00262 |Loss: 0.623 | Acc: 71.040% 
001  00263 |Loss: 0.623 | Acc: 71.008% 
001  00264 |Loss: 0.624 | Acc: 70.975% 
001  00265 |Loss: 0.624 | Acc: 70.991% 
001  00266 |Loss: 0.623 | Acc: 71.006% 
001  00267 |Loss: 0.624 | Acc: 70.974% 
001  00268 |Loss: 0.623 | Acc: 71.035% 
001  00269 |Loss: 0.623 | Acc: 71.097% 
001  00270 |Loss: 0.624 | Acc: 70.972% 
001  00271 |Loss: 0.623 | Acc: 71.033% 
001  00272 |Loss: 0.623 | Acc: 71.048% 
001  00273 |Loss: 0.622 | Acc: 71.108% 
001  00274 |Loss: 0.621 | Acc: 71.214% 
001  00275 |Loss: 0.621 | Acc: 71.227% 
001  00276 |Loss: 0.620 | Acc: 71.286% 
001  00277 |Loss: 0.620 | Acc: 71.255% 
001  00278 |Loss: 0.620 | Acc: 71.313% 
001  00279 |Loss: 0.621 | Acc: 71.237% 
001  00280 |Loss: 0.622 | Acc: 71.116% 
001  00281 |Loss: 0.623 | Acc: 71.041% 
001  00282 |Loss: 0.622 | Acc: 71.099% 
001  00283 |Loss: 0.622 | Acc: 71.069% 
001  00284 |Loss: 0.622 | Acc: 71.039% 
001  00285 |Loss: 0.621 | Acc: 71.140% 
001  00286 |Loss: 0.621 | Acc: 71.110% 
001  00287 |Loss: 0.621 | Acc: 71.124% 
001  00288 |Loss: 0.620 | Acc: 71.137% 
001  00289 |Loss: 0.620 | Acc: 71.151% 
001  00290 |Loss: 0.620 | Acc: 71.121% 
001  00291 |Loss: 0.620 | Acc: 71.134% 
001  00292 |Loss: 0.619 | Acc: 71.233% 
001  00293 |Loss: 0.620 | Acc: 71.203% 
001  00294 |Loss: 0.620 | Acc: 71.131% 
001  00295 |Loss: 0.619 | Acc: 71.229% 
001  00296 |Loss: 0.619 | Acc: 71.199% 
001  00297 |Loss: 0.619 | Acc: 71.170% 
001  00298 |Loss: 0.619 | Acc: 71.183% 
001  00299 |Loss: 0.619 | Acc: 71.154% 
001  00300 |Loss: 0.619 | Acc: 71.167% 
001  00301 |Loss: 0.618 | Acc: 71.221% 
001  00302 |Loss: 0.619 | Acc: 71.151% 
001  00303 |Loss: 0.619 | Acc: 71.163% 
001  00304 |Loss: 0.619 | Acc: 71.176% 
001  00305 |Loss: 0.619 | Acc: 71.148% 
001  00306 |Loss: 0.619 | Acc: 71.119% 
001  00307 |Loss: 0.619 | Acc: 71.091% 
001  00308 |Loss: 0.620 | Acc: 71.023% 
001  00309 |Loss: 0.619 | Acc: 71.036% 
001  00310 |Loss: 0.619 | Acc: 71.089% 
001  00311 |Loss: 0.619 | Acc: 71.101% 
001  00312 |Loss: 0.618 | Acc: 71.114% 
001  00313 |Loss: 0.617 | Acc: 71.166% 
001  00314 |Loss: 0.616 | Acc: 71.258% 
001  00315 |Loss: 0.616 | Acc: 71.270% 
001  00316 |Loss: 0.615 | Acc: 71.321% 
001  00317 |Loss: 0.614 | Acc: 71.412% 
001  00318 |Loss: 0.613 | Acc: 71.423% 
001  00319 |Loss: 0.612 | Acc: 71.513% 
001  00320 |Loss: 0.610 | Acc: 71.562% 
001  00321 |Loss: 0.610 | Acc: 71.612% 
001  00322 |Loss: 0.611 | Acc: 71.545% 
001  00323 |Loss: 0.609 | Acc: 71.633% 
001  00324 |Loss: 0.609 | Acc: 71.644% 
001  00325 |Loss: 0.609 | Acc: 71.654% 
001  00326 |Loss: 0.609 | Acc: 71.664% 
001  00327 |Loss: 0.609 | Acc: 71.674% 
001  00328 |Loss: 0.609 | Acc: 71.684% 
001  00329 |Loss: 0.609 | Acc: 71.695% 
001  00330 |Loss: 0.610 | Acc: 71.667% 
001  00331 |Loss: 0.610 | Acc: 71.677% 
001  00332 |Loss: 0.611 | Acc: 71.649% 
001  00333 |Loss: 0.613 | Acc: 71.622% 
001  00334 |Loss: 0.612 | Acc: 71.669% 
001  00335 |Loss: 0.611 | Acc: 71.679% 
001  00336 |Loss: 0.611 | Acc: 71.652% 
001  00337 |Loss: 0.611 | Acc: 71.625% 
001  00338 |Loss: 0.611 | Acc: 71.598% 
001  00339 |Loss: 0.610 | Acc: 71.608% 
001  00340 |Loss: 0.610 | Acc: 71.654% 
001  00341 |Loss: 0.610 | Acc: 71.664% 
001  00342 |Loss: 0.610 | Acc: 71.674% 
001  00343 |Loss: 0.610 | Acc: 71.684% 
001  00344 |Loss: 0.609 | Acc: 71.657% 
001  00345 |Loss: 0.610 | Acc: 71.594% 
001  00346 |Loss: 0.610 | Acc: 71.568% 
001  00347 |Loss: 0.610 | Acc: 71.542% 
001  00348 |Loss: 0.610 | Acc: 71.516% 
001  00349 |Loss: 0.610 | Acc: 71.454% 
001  00350 |Loss: 0.610 | Acc: 71.500% 
001  00351 |Loss: 0.610 | Acc: 71.510% 
001  00352 |Loss: 0.609 | Acc: 71.555% 
001  00353 |Loss: 0.610 | Acc: 71.565% 
001  00354 |Loss: 0.609 | Acc: 71.575% 
001  00355 |Loss: 0.610 | Acc: 71.514% 
001  00356 |Loss: 0.610 | Acc: 71.524% 
001  00357 |Loss: 0.610 | Acc: 71.499% 
001  00358 |Loss: 0.610 | Acc: 71.508% 
001  00359 |Loss: 0.610 | Acc: 71.518% 
001  00360 |Loss: 0.610 | Acc: 71.528% 
001  00361 |Loss: 0.610 | Acc: 71.607% 
001  00362 |Loss: 0.610 | Acc: 71.616% 
001  00363 |Loss: 0.609 | Acc: 71.591% 
001  00364 |Loss: 0.609 | Acc: 71.566% 
001  00365 |Loss: 0.609 | Acc: 71.644% 
001  00366 |Loss: 0.609 | Acc: 71.551% 
001  00367 |Loss: 0.609 | Acc: 71.594% 
001  00368 |Loss: 0.610 | Acc: 71.603% 
001  00369 |Loss: 0.610 | Acc: 71.545% 
001  00370 |Loss: 0.610 | Acc: 71.622% 
001  00371 |Loss: 0.610 | Acc: 71.563% 
001  00372 |Loss: 0.610 | Acc: 71.606% 
001  00373 |Loss: 0.609 | Acc: 71.682% 
001  00374 |Loss: 0.608 | Acc: 71.758% 
001  00375 |Loss: 0.608 | Acc: 71.767% 
001  00376 |Loss: 0.608 | Acc: 71.775% 
001  00377 |Loss: 0.607 | Acc: 71.850% 
001  00378 |Loss: 0.606 | Acc: 71.925% 
001  00379 |Loss: 0.605 | Acc: 71.999% 
001  00380 |Loss: 0.605 | Acc: 72.007% 
001  00381 |Loss: 0.605 | Acc: 72.014% 
001  00382 |Loss: 0.607 | Acc: 71.924% 
001  00383 |Loss: 0.606 | Acc: 71.965% 
001  00384 |Loss: 0.606 | Acc: 71.940% 
001  00385 |Loss: 0.606 | Acc: 71.981% 
001  00386 |Loss: 0.605 | Acc: 72.021% 
001  00387 |Loss: 0.605 | Acc: 71.996% 
001  00388 |Loss: 0.606 | Acc: 71.972% 
001  00389 |Loss: 0.605 | Acc: 71.979% 
001  00390 |Loss: 0.605 | Acc: 71.987% 
001  00391 |Loss: 0.605 | Acc: 72.027% 
001  00392 |Loss: 0.605 | Acc: 72.003% 
001  00393 |Loss: 0.605 | Acc: 72.042% 
001  00394 |Loss: 0.605 | Acc: 72.018% 
001  00395 |Loss: 0.606 | Acc: 71.930% 
001  00396 |Loss: 0.606 | Acc: 71.938% 
001  00397 |Loss: 0.606 | Acc: 71.977% 
001  00398 |Loss: 0.606 | Acc: 71.954% 
001  00399 |Loss: 0.606 | Acc: 71.898% 
001  00400 |Loss: 0.606 | Acc: 71.906% 
001  00401 |Loss: 0.606 | Acc: 71.852% 
001  00402 |Loss: 0.606 | Acc: 71.859% 
001  00403 |Loss: 0.606 | Acc: 71.836% 
001  00404 |Loss: 0.606 | Acc: 71.875% 
001  00405 |Loss: 0.606 | Acc: 71.883% 
001  00406 |Loss: 0.606 | Acc: 71.860% 
001  00407 |Loss: 0.606 | Acc: 71.775% 
001  00408 |Loss: 0.606 | Acc: 71.722% 
001  00409 |Loss: 0.606 | Acc: 71.760% 
001  00410 |Loss: 0.606 | Acc: 71.738% 
001  00411 |Loss: 0.606 | Acc: 71.746% 
001  00412 |Loss: 0.605 | Acc: 71.784% 
001  00413 |Loss: 0.605 | Acc: 71.762% 
001  00414 |Loss: 0.607 | Acc: 71.679% 
001  00415 |Loss: 0.608 | Acc: 71.596% 
001  00416 |Loss: 0.607 | Acc: 71.665% 
001  00417 |Loss: 0.607 | Acc: 71.643% 
001  00418 |Loss: 0.607 | Acc: 71.681% 
001  00419 |Loss: 0.606 | Acc: 71.718% 
001  00420 |Loss: 0.606 | Acc: 71.726% 
001  00421 |Loss: 0.606 | Acc: 71.734% 
001  00422 |Loss: 0.606 | Acc: 71.682% 
001  00423 |Loss: 0.606 | Acc: 71.661% 
001  00424 |Loss: 0.606 | Acc: 71.639% 
001  00425 |Loss: 0.606 | Acc: 71.588% 
001  00426 |Loss: 0.606 | Acc: 71.567% 
001  00427 |Loss: 0.606 | Acc: 71.516% 
001  00428 |Loss: 0.605 | Acc: 71.554% 
001  00429 |Loss: 0.605 | Acc: 71.562% 
001  00430 |Loss: 0.606 | Acc: 71.483% 
001  00431 |Loss: 0.607 | Acc: 71.433% 
001  00432 |Loss: 0.607 | Acc: 71.383% 
001  00433 |Loss: 0.607 | Acc: 71.391% 
001  00434 |Loss: 0.606 | Acc: 71.457% 
001  00435 |Loss: 0.606 | Acc: 71.466% 
001  00436 |Loss: 0.606 | Acc: 71.474% 
001  00437 |Loss: 0.606 | Acc: 71.510% 
001  00438 |Loss: 0.606 | Acc: 71.518% 
001  00439 |Loss: 0.606 | Acc: 71.498% 
001  00440 |Loss: 0.606 | Acc: 71.534% 
001  00441 |Loss: 0.606 | Acc: 71.570% 
001  00442 |Loss: 0.605 | Acc: 71.635% 
